Drug,Pathway,DetailedPathway,Impact,MIC,Induction,Rep1,Rep2
Azithromycin,Ribosome,50S subunit,Static,1,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC-2mM_S53_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC-2mM_S44_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/25MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/25MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/5MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/5MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/2MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/2MIC.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-25MIC_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-25MIC_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,2,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-2MIC_S58_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-2MIC_S53_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.5,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-5MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-5MIC_S38_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,1,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-MIC_S48_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-25MIC1mM_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-25MIC1mM_S43_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
